model,subgroup_variable,subgroup,n,outcome_rate,auc,accuracy,sensitivity,specificity,false_positive_rate,false_negative_rate,precision,f1,brier_score,calibration_slope,calibration_intercept,calibration_error,warning
random_forest,education,College graduate,343,0.11661807580174927,0.8525577557755776,0.8367346938775511,0.775,0.8448844884488449,0.1551155115511551,0.225,0.3974358974358974,0.5254237288135594,0.12254514782980067,1.2981388952290178,-1.4311733625151473,1.729312257744165,
random_forest,education,High school/GED,325,0.15384615384615385,0.8014545454545454,0.7569230769230769,0.74,0.76,0.24,0.26,0.3592233009708738,0.4836601307189542,0.16137462814432835,1.0491777552538575,-1.3790645213728108,1.4282422766266683,
random_forest,education,Less than 9th grade,115,0.28695652173913044,0.7749445676274944,0.6608695652173913,0.8181818181818182,0.5975609756097561,0.4024390243902439,0.18181818181818182,0.45,0.5806451612903226,0.20703696821812198,1.234321952407366,-1.0842766049369332,1.3185985573442993,
random_forest,education,Some college/AA,441,0.14512471655328799,0.818675397877984,0.7755102040816326,0.65625,0.7957559681697612,0.20424403183023873,0.34375,0.35294117647058826,0.45901639344262296,0.14842965234078828,1.1018415214657398,-1.3678836924055642,1.469725213871304,
random_forest,poverty_group,101-200% FPL,333,0.16516516516516516,0.784434270765206,0.7297297297297297,0.7272727272727273,0.7302158273381295,0.2697841726618705,0.2727272727272727,0.34782608695652173,0.4705882352941176,0.17877605058857232,0.9210307429042102,-1.430326974734117,1.5092962318299068,
random_forest,poverty_group,201-400% FPL,329,0.14285714285714285,0.8878074543534027,0.8297872340425532,0.8085106382978723,0.8333333333333334,0.16666666666666666,0.19148936170212766,0.4470588235294118,0.5757575757575757,0.11968710887971869,1.5108460887853699,-1.2941039208991623,1.8049500096845321,
random_forest,poverty_group,<=100% FPL,268,0.17164179104477612,0.8486094790442616,0.7723880597014925,0.6304347826086957,0.8018018018018018,0.1981981981981982,0.3695652173913043,0.3972602739726027,0.48739495798319327,0.1318081107538343,1.4010679070412768,-0.9886657727068594,1.389733679748136,
random_forest,poverty_group,>400% FPL,328,0.11890243902439024,0.8346198207789903,0.823170731707317,0.7692307692307693,0.8304498269896193,0.1695501730103806,0.23076923076923078,0.379746835443038,0.5084745762711864,0.1308943983811748,1.213779402664691,-1.4299426832705049,1.643722085935196,
random_forest,race_ethnicity,Mexican American,193,0.15025906735751296,0.8513456686291001,0.8082901554404145,0.7586206896551724,0.8170731707317073,0.18292682926829268,0.2413793103448276,0.4230769230769231,0.5432098765432098,0.13078924074296927,1.1893970403652792,-1.221749993695127,1.4111470340604062,
random_forest,race_ethnicity,Non-Hispanic Asian,207,0.14492753623188406,0.8293785310734464,0.855072463768116,0.6333333333333333,0.8926553672316384,0.10734463276836158,0.36666666666666664,0.5,0.5588235294117647,0.11761357361252824,1.0767512232451317,-0.9308562228295293,1.007607446074661,
